Job Role,Skills
Software Engineer,"Python,Java,SQL,Git,OOP,DBMS,DSA,Docker,FastAPI,AWS,Linux,REST API,CI/CD,System Design"
Android Developer,"Kotlin,Java,Android Studio,Firebase,XML,Jetpack Compose,MVVM,Room Database,REST API,Git"
Python Developer,"Python,SQL,Pandas,NumPy,APIs,FastAPI,Flask,Django,Git,Linux"
Machine Learning Engineer,"Python,Machine Learning,Deep Learning,TensorFlow,PyTorch,Pandas,NumPy,Statistics,Scikit-learn,Docker,Git"
AI Engineer,"Python,Machine Learning,Deep Learning,TensorFlow,PyTorch,LLM,RAG,LangChain,Gemini,FastAPI,Docker,Git"
Data Scientist,"Python,SQL,Pandas,NumPy,Statistics,Machine Learning,Visualization,Matplotlib,PowerBI,Git"
Cloud Engineer,"AWS,Linux,Docker,Kubernetes,Python,Networking,CI/CD,Git,Terraform"
